lib_etendu,bilan,montant_signe,signe,num_oper,diff_ope_val
5224,21110,-300.0,1,2798,1.0
5224,21110,-200.0,1,6569,1.0
5224,21110,-200.0,1,5368,1.0
5224,21110,-200.0,1,5458,1.0
5224,21110,-300.0,1,1033,1.0
4516,21110,9500.0,0,5877,-1.0
1362,21110,-249.0,1,4197,4.0
5067,21110,-6567.31,1,6326,1.0
1311,21110,1000.0,0,1230,-1.0
1721,21110,2400.0,0,1763,-1.0
2209,21110,-2800.0,1,3915,0.0
2222,21110,-22.0,1,3915,0.0
2901,21110,-1500.0,1,5951,4.0
1602,21110,-2850.0,1,5818,0.0
2222,21110,-22.0,1,5818,0.0
4781,21110,-810.0,1,5135,0.0
2222,21110,-22.0,1,5135,0.0
5226,21110,-360.0,1,6812,1.0
3524,21110,-3855.0,1,7730,0.0
2222,21110,-22.0,1,7730,0.0
4360,21110,2050.0,0,1889,-1.0
2808,21110,442.8,0,7751,-1.0
2808,21110,2651.7,0,7751,-1.0
4709,21110,-22.0,1,7751,0.0
957,21110,-705.5,1,3080,4.0
957,21110,-1505.5,1,7614,4.0
155,21110,500.0,0,3898,-1.0
2902,21110,1000.0,0,5443,-1.0
2283,21110,500.0,0,2814,-1.0
4342,21110,1000.0,0,7236,-1.0
4899,21110,15000.0,0,152,0.0
185,21110,-100.0,1,7751,0.0
2554,21110,10000.0,0,4841,0.0
3081,21110,-1000.0,1,6391,4.0
1983,21110,-11000.0,1,2285,0.0
3358,21110,-500.0,1,6466,0.0
4899,21110,1600.0,0,5995,0.0
5067,21110,-8204.83,1,4975,1.0
5067,21110,-1584.31,1,4749,1.0
1337,21110,-3500.0,1,380,0.0
3199,21110,-1000.0,1,6803,0.0
3977,21110,13000.0,0,1000,-1.0
3989,21110,-100.0,1,7382,4.0
5248,21110,2000.0,0,4390,0.0
4064,21110,-4000.0,1,6233,0.0
2222,21110,-22.0,1,6233,0.0
5248,21110,1100.0,0,5049,0.0
973,21110,-1100.0,1,3813,1.0
4953,21110,-1500.0,1,3737,1.0
3641,21110,-302.48,1,6213,1.0
3998,21110,29412.07,0,4467,-3.0
3299,21110,-10000.0,1,2392,1.0
938,21110,4000.0,0,6021,0.0
4762,21110,38700.0,0,2005,-1.0
613,21110,-500000.0,1,4507,0.0
3254,21110,-10.0,1,99,4.0
2463,21110,3000.0,0,4709,0.0
3752,21110,-500.0,1,3306,4.0
3925,21110,-26.62,1,7422,4.0
2065,21110,-288.66,1,6032,4.0
2661,21110,-485.98,1,3091,4.0
1268,21110,-889.04,1,3843,4.0
2661,21110,-971.97,1,5315,4.0
285,21110,1006.0,0,7751,0.0
1503,21110,2500.0,0,3297,0.0
2036,21110,3000.0,0,4686,0.0
4868,21110,-2400.0,1,3788,0.0
2222,21110,-22.0,1,3788,0.0
786,21110,-10000.0,1,1341,0.0
2222,21110,-22.0,1,1341,0.0
3511,21110,2400.0,0,6167,-1.0
2122,21110,-100.0,1,2789,4.0
4539,21110,-229.0,1,5599,0.0
778,21110,1900.0,0,6431,-1.0
1362,21110,-1405.2,1,7586,4.0
2009,21110,-55.0,1,6705,0.0
1454,21110,-300.0,1,100,0.0
3757,21110,-1000.0,1,7405,4.0
2597,21110,-5000.0,1,5008,4.0
4811,21110,1000.0,0,7751,-1.0
847,21110,2000.0,0,1969,0.0
5067,21110,-12652.0,1,5256,1.0
4175,21110,20000.0,0,6156,-1.0
2356,21110,-5.5,1,7751,0.0
2715,21110,-22.0,1,7751,0.0
52,21110,4400.0,0,1888,-1.0
3816,21110,-25820.0,1,2359,1.0
1814,21110,-2500.0,1,3884,1.0
2014,21110,2500.0,0,801,-1.0
4483,21110,17500.0,0,4621,-1.0
1847,21110,3000.0,0,6524,-1.0
88,21110,-17029.0,1,1067,1.0
1057,21110,-3165.64,1,7751,0.0
1210,21110,1500.0,0,4510,-1.0
4657,21110,1000.0,0,6762,0.0
4241,21110,4500.0,0,7751,-1.0
3776,21110,2105.5,0,4564,0.0
3478,21110,-705.5,1,289,4.0
3478,21110,-705.5,1,1747,4.0
3478,21110,-705.5,1,3219,4.0
3478,21110,-1505.5,1,6970,4.0
3478,21110,-705.5,1,5914,4.0
3478,21110,-705.5,1,5339,4.0
3478,21110,-705.5,1,1321,4.0
3478,21110,-705.5,1,1947,4.0
3478,21110,-705.5,1,2806,4.0
3478,21110,-705.5,1,3189,4.0
3478,21110,-705.5,1,2026,4.0
3478,21110,-705.5,1,4556,4.0
2107,21110,-1500.0,1,2632,4.0
5155,21110,-2000.0,1,2935,4.0
1939,21110,-3000.0,1,7672,1.0
1421,21110,300.0,0,574,0.0
3447,21110,3051.98,0,2669,-1.0
1503,21110,4000.0,0,3334,0.0
471,21110,-3000.0,1,6314,4.0
957,21110,-705.5,1,5020,4.0
1226,21110,2993.83,0,3438,0.0
5067,21110,-5982.05,1,5602,1.0
2110,21110,4485.53,0,7577,-1.0
1317,21110,-300.0,1,2655,4.0
845,21110,-1293.0,1,6294,1.0
2523,21110,-10.0,1,5098,4.0
5067,21110,-838.95,1,6593,1.0
5269,21110,-5000.0,1,6513,0.0
3761,21110,-1050.0,1,3689,1.0
613,21110,-140000.0,1,6526,0.0
3936,21110,-1000.0,1,3891,4.0
3464,21110,1250.0,0,1193,0.0
3865,21110,32785.84,0,3133,-1.0
1187,21110,-1000.0,1,649,4.0
1645,21110,-400.0,1,6125,4.0
2348,21110,-2000.0,1,2405,1.0
1134,21110,-200.0,1,7231,1.0
1134,21110,-37.0,1,3973,1.0
1134,21110,-500.0,1,1698,1.0
4429,21110,-100.0,1,5301,1.0
1362,21110,-249.0,1,2607,4.0
4583,21110,-468.12,1,1266,4.0
3461,21110,30855.0,0,7636,-1.0
4539,21110,-199.0,1,6640,0.0
4539,21110,-99.0,1,3921,0.0
4783,21110,-450.0,1,5407,1.0
1996,21110,3000.0,0,3852,-1.0
3531,21110,-2800.0,1,1965,1.0
1070,21110,-1500.0,1,1370,0.0
2222,21110,-22.0,1,1370,0.0
3462,21110,-150000.0,1,5517,1.0
2009,21110,-55.0,1,2151,0.0
1038,21110,-1500.0,1,4695,4.0
2902,21110,2900.0,0,6725,-1.0
1127,21110,5000.0,0,3363,-1.0
1127,21110,5000.0,0,5732,-1.0
865,21110,1200.0,0,3264,0.0
3939,21110,-2000.0,1,4117,4.0
5067,21110,-1396.03,1,6257,1.0
4210,21110,-10000.0,1,2538,0.0
2222,21110,-22.0,1,2538,0.0
1952,21110,-4220.0,1,5868,1.0
1946,21110,-67896.0,1,91,1.0
4532,21110,-6000.0,1,1384,1.0
2782,21110,9800.0,0,4214,0.0
4337,21110,10000.0,0,600,0.0
5067,21110,-3314.67,1,7570,1.0
4274,21110,-270.35,1,3395,1.0
3447,21110,2109.88,0,4760,-1.0
1177,21110,-1000.0,1,5394,4.0
2090,21110,5500.0,0,2310,0.0
2326,21110,-3500.0,1,7735,4.0
5075,21110,-2700.0,1,3922,1.0
3254,21110,-20.0,1,5534,4.0
5067,21110,-1123.63,1,26,1.0
1347,21110,-22.0,1,1731,0.0
4243,21110,-25.0,1,1731,0.0
639,21110,-500.0,1,3421,4.0
4792,21110,-4000.0,1,1426,1.0
1330,21110,-500.0,1,48,4.0
144,21110,-1000.0,1,537,4.0
1622,21110,-5000.0,1,5960,4.0
2944,21110,-67121.09,1,4314,1.0
4316,21110,-25000.0,1,2826,0.0
2222,21110,-22.0,1,2826,0.0
5067,21110,-14021.93,1,363,1.0
1576,21110,16000.0,0,5848,0.0
4610,21110,-390.0,1,4415,0.0
2222,21110,-22.0,1,4415,0.0
2761,21110,-100.0,1,3136,4.0
593,21110,2000.0,0,6341,-1.0
4811,21110,3000.0,0,7751,-1.0
4241,21110,150000.0,0,7751,-1.0
1548,21110,-1000.0,1,1798,1.0
3447,21110,7307.8,0,4061,-1.0
2039,21110,-41300.0,1,1933,0.0
365,21110,2400.0,0,7230,-1.0
1803,21110,4800.0,0,7751,-1.0
372,21110,-1000.0,1,3523,4.0
1611,21110,-1000.0,1,6656,1.0
4298,21110,-10000.0,1,6453,1.0
3873,21110,813.0,0,757,0.0
1832,21110,-2510.44,1,4162,1.0
3344,21110,-300.0,1,1902,0.0
3346,21110,2500.0,0,4152,-1.0
2991,21110,-180.0,1,2455,0.0
1195,21110,-2000.0,1,4762,1.0
3447,21110,2930.01,0,1752,-1.0
4956,21110,-1000.0,1,5433,4.0
1067,21110,-2000.0,1,1615,0.0
2356,21110,-5.5,1,7751,0.0
1136,21110,-1000.0,1,6678,4.0
63,21110,-12330.0,1,4456,1.0
5039,21110,-1000.0,1,5275,4.0
1869,21110,-22.0,1,4300,5.0
5067,21110,-1849.92,1,5624,1.0
2757,21110,150.0,0,3752,-1.0
4545,21110,190000.0,0,390,-1.0
1619,21110,1000.0,0,7540,0.0
1619,21110,4000.0,0,3505,0.0
2523,21110,-20.0,1,3233,4.0
1412,21110,-2000.0,1,6863,4.0
5170,21110,1500.0,0,7751,-1.0
5011,21110,-20564.76,1,1381,1.0
1347,21110,-22.0,1,2933,0.0
3245,21110,-60000.0,1,2933,0.0
952,21110,-20114.0,1,1366,1.0
2523,21110,-20.0,1,4438,4.0
1366,21110,4000.0,0,2850,-1.0
4843,21110,-31000.0,1,1400,0.0
2222,21110,-22.0,1,1400,0.0
2562,21110,4000.0,0,3039,-1.0
3710,21110,4000.0,0,7534,-1.0
591,21110,9594.0,0,411,-1.0
3447,21110,13292.5,0,826,-1.0
2066,21110,1000.0,0,7003,-1.0
1347,21110,-22.0,1,1159,0.0
3104,21110,-1173800.0,1,1159,0.0
2356,21110,-5.5,1,7751,0.0
5094,21110,50000.0,0,4758,0.0
2864,21110,-2000.0,1,6160,1.0
2978,21110,-1100.0,1,5026,1.0
4539,21181,-399.0,1,6000,0.0
1859,21181,-30000.0,1,3639,0.0
2699,21181,-2139.86,1,1181,5.0
1454,21181,-300.0,1,1643,0.0
3353,21181,-5000.0,1,7669,1.0
957,21150,-705.5,1,7012,4.0
957,21150,-1505.5,1,2100,4.0
4079,21150,-100.0,1,6622,1.0
1668,21150,-200.0,1,5831,1.0
1454,21150,-300.0,1,2441,0.0
5224,21150,-300.0,1,3463,1.0
4539,21150,-99.0,1,854,0.0
43,21150,-5000.0,1,4370,0.0
3059,21150,1800.0,0,4920,-1.0
3447,21150,5892.56,0,3930,-1.0
2973,21150,-3200.0,1,7155,1.0
3447,21150,2933.23,0,6968,-1.0
656,21150,-2000.0,1,3700,1.0
3295,21150,-200.0,1,84,0.0
148,21150,1100.0,0,3941,-1.0
1154,21150,-8000.0,1,5771,1.0
4346,21150,-7000.0,1,1441,1.0
185,21150,-100.0,1,7751,0.0
4792,21150,-1200.0,1,5646,0.0
5224,21150,-300.0,1,7173,1.0
1203,21150,-1000.0,1,4381,0.0
2177,21140,7250.0,0,1570,0.0
3198,21140,3000.0,0,4123,0.0
1347,21140,-22.0,1,6436,0.0
3834,21140,-1500.0,1,6436,0.0
4677,21140,-500.0,1,4687,1.0
4605,21140,-500.0,1,347,1.0
1019,21140,1180.0,0,7751,-1.0
4931,21140,-5000.0,1,2236,1.0
2363,21140,-500.0,1,6114,1.0
1472,21140,-171.39,1,1883,4.0
3314,21140,-5000.0,1,679,0.0
2902,21140,5500.0,0,2103,-1.0
0,21140,-1000.0,1,5393,0.0
3141,21140,2000.0,0,6426,0.0
5067,21140,-8232.99,1,739,1.0
5067,21140,-4190.95,1,7452,1.0
3732,21140,5000.0,0,1536,-1.0
5067,21140,-2752.48,1,1227,1.0
3836,21140,20000.0,0,6492,-1.0
2442,21140,-15180.0,1,5580,1.0
464,21140,520.45,0,2458,-1.0
2733,21140,14000.0,0,7644,-1.0
1900,21140,-2000.0,1,4640,4.0
967,21140,-3000.0,1,2505,4.0
704,21140,-1682.17,1,3925,1.0
1340,21140,-200.0,1,3141,4.0
4893,21140,1004.46,0,2191,-1.0
4838,21140,-200.0,1,4824,0.0
3014,21140,-2000.0,1,1368,1.0
2602,21140,-1500.0,1,729,1.0
3447,21140,1359.14,0,7322,-1.0
5067,21140,-5126.61,1,1614,1.0
3919,21140,-4500.0,1,5542,1.0
4241,21140,500.0,0,7751,-1.0
5067,21140,-5646.46,1,5832,1.0
4288,21140,15000.0,0,2433,0.0
4819,21140,-5000.0,1,2066,0.0
4859,21140,30000.0,0,6060,0.0
2538,21140,8500.0,0,7200,-1.0
